python_tag,benchmark,class,mode,threads,rep,returncode,timed_out,verification,npb_seconds,mops,wall_seconds,python_version,node,slurm_job_id,slurm_array_task_id,raw_log
3.15t,CG,A,3,32,1,0,False,SUCCESSFUL,22.15,67.57,168.03555989265442,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-198,7255993,7,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_full315_nopin/raw/py315t__CG__A__m3__t32__r01.txt
3.15t,CG,A,3,32,2,0,False,SUCCESSFUL,21.17,70.68,166.0420105457306,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-198,7255993,7,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_full315_nopin/raw/py315t__CG__A__m3__t32__r02.txt
3.15t,CG,A,3,32,3,0,False,SUCCESSFUL,21.49,69.64,166.71194005012512,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-198,7255993,7,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_full315_nopin/raw/py315t__CG__A__m3__t32__r03.txt
3.15t,CG,S,0,1,1,0,False,SUCCESSFUL,18.23,3.66,23.263251781463623,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-152,7256035,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_full315_nopin/raw/py315t__CG__S__m0__t01__r01.txt
3.15t,CG,S,0,1,2,0,False,SUCCESSFUL,18.24,3.65,22.82849907875061,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-152,7256035,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_full315_nopin/raw/py315t__CG__S__m0__t01__r02.txt
3.15t,CG,S,0,1,3,0,False,SUCCESSFUL,18.23,3.66,22.726322889328003,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-152,7256035,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_full315_nopin/raw/py315t__CG__S__m0__t01__r03.txt
3.15t,CG,S,0,2,1,0,False,SUCCESSFUL,14.12,4.72,18.331212520599365,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-152,7256035,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_full315_nopin/raw/py315t__CG__S__m0__t02__r01.txt
3.15t,CG,S,0,2,2,0,False,SUCCESSFUL,15.29,4.36,19.547369956970215,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-152,7256035,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_full315_nopin/raw/py315t__CG__S__m0__t02__r02.txt
3.15t,CG,S,0,2,3,0,False,SUCCESSFUL,15.72,4.24,20.055861949920654,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-152,7256035,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_full315_nopin/raw/py315t__CG__S__m0__t02__r03.txt
3.15t,CG,S,0,4,1,0,False,SUCCESSFUL,11.53,5.78,15.68604326248169,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-152,7256035,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_full315_nopin/raw/py315t__CG__S__m0__t04__r01.txt
3.15t,CG,S,0,4,2,0,False,SUCCESSFUL,11.69,5.7,15.709600925445557,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-152,7256035,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_full315_nopin/raw/py315t__CG__S__m0__t04__r02.txt
3.15t,CG,S,0,4,3,0,False,SUCCESSFUL,11.1,6.01,15.045356512069702,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-152,7256035,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_full315_nopin/raw/py315t__CG__S__m0__t04__r03.txt
3.15t,CG,S,0,8,1,0,False,SUCCESSFUL,12.87,5.18,16.987882614135742,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-152,7256035,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_full315_nopin/raw/py315t__CG__S__m0__t08__r01.txt
3.15t,CG,S,0,8,2,0,False,SUCCESSFUL,13.51,4.93,17.669492721557617,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-152,7256035,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_full315_nopin/raw/py315t__CG__S__m0__t08__r02.txt
3.15t,CG,S,0,8,3,0,False,SUCCESSFUL,13.15,5.07,17.269025087356567,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-152,7256035,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_full315_nopin/raw/py315t__CG__S__m0__t08__r03.txt
3.15t,CG,S,0,16,1,0,False,SUCCESSFUL,14.46,4.61,18.80420160293579,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-152,7256035,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_full315_nopin/raw/py315t__CG__S__m0__t16__r01.txt
3.15t,CG,S,0,16,2,0,False,SUCCESSFUL,14.6,4.57,18.860583543777466,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-152,7256035,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_full315_nopin/raw/py315t__CG__S__m0__t16__r02.txt
3.15t,CG,S,0,16,3,0,False,SUCCESSFUL,15.43,4.32,19.837062120437622,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-152,7256035,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_full315_nopin/raw/py315t__CG__S__m0__t16__r03.txt
3.15t,CG,S,0,32,1,0,False,SUCCESSFUL,20.72,3.22,25.323543787002563,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-152,7256035,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_full315_nopin/raw/py315t__CG__S__m0__t32__r01.txt
3.15t,CG,S,0,32,2,0,False,SUCCESSFUL,19.06,3.5,23.7422297000885,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-152,7256035,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_full315_nopin/raw/py315t__CG__S__m0__t32__r02.txt
3.15t,CG,S,0,32,3,0,False,SUCCESSFUL,20.13,3.31,24.882389545440674,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-152,7256035,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_full315_nopin/raw/py315t__CG__S__m0__t32__r03.txt
3.15t,CG,S,1,1,1,0,False,SUCCESSFUL,18.23,3.66,22.684336185455322,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-152,7256035,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_full315_nopin/raw/py315t__CG__S__m1__t01__r01.txt
