python_tag,benchmark,class,mode,threads,rep,returncode,timed_out,verification,npb_seconds,mops,wall_seconds,python_version,node,slurm_job_id,slurm_array_task_id,raw_log
3.13t,CG,S,2,32,1,0,False,SUCCESSFUL,4.28,15.56,58.53024339675903,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-168,7256495,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_nopin/raw/py313t__CG__S__m2__t32__r01.txt
3.13t,CG,S,2,32,2,0,False,SUCCESSFUL,4.34,15.36,58.70675849914551,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-168,7256495,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_nopin/raw/py313t__CG__S__m2__t32__r02.txt
3.13t,CG,S,2,32,3,0,False,SUCCESSFUL,4.3,15.52,58.346720457077026,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-168,7256495,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_nopin/raw/py313t__CG__S__m2__t32__r03.txt
3.13t,CG,S,2,32,4,0,False,SUCCESSFUL,4.28,15.58,58.49911594390869,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-168,7256495,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_nopin/raw/py313t__CG__S__m2__t32__r04.txt
3.13t,CG,S,2,32,5,0,False,SUCCESSFUL,4.31,15.45,58.56552028656006,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-168,7256495,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_nopin/raw/py313t__CG__S__m2__t32__r05.txt
3.13t,CG,S,3,1,1,0,False,SUCCESSFUL,0.13,511.4,54.19721436500549,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-168,7256495,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_nopin/raw/py313t__CG__S__m3__t01__r01.txt
3.13t,CG,S,3,1,2,0,False,SUCCESSFUL,0.12,545.3,53.96401643753052,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-168,7256495,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_nopin/raw/py313t__CG__S__m3__t01__r02.txt
3.13t,CG,S,3,1,3,0,False,SUCCESSFUL,0.12,545.87,54.21049642562866,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-168,7256495,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_nopin/raw/py313t__CG__S__m3__t01__r03.txt
3.13t,CG,S,3,1,4,0,False,SUCCESSFUL,0.12,541.53,54.222514390945435,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-168,7256495,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_nopin/raw/py313t__CG__S__m3__t01__r04.txt
3.13t,CG,S,3,1,5,0,False,SUCCESSFUL,0.12,541.06,54.01103925704956,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-168,7256495,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_nopin/raw/py313t__CG__S__m3__t01__r05.txt
3.13t,CG,S,3,4,1,0,False,SUCCESSFUL,0.67,100.12,54.653786420822144,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-168,7256495,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_nopin/raw/py313t__CG__S__m3__t04__r01.txt
3.13t,CG,S,3,4,2,0,False,SUCCESSFUL,0.65,103.14,54.48502278327942,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-168,7256495,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_nopin/raw/py313t__CG__S__m3__t04__r02.txt
3.13t,CG,S,3,4,3,0,False,SUCCESSFUL,0.66,100.54,55.016369581222534,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-168,7256495,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_nopin/raw/py313t__CG__S__m3__t04__r03.txt
3.13t,CG,S,3,4,4,0,False,SUCCESSFUL,0.66,101.67,54.814013719558716,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-168,7256495,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_nopin/raw/py313t__CG__S__m3__t04__r04.txt
3.13t,CG,S,3,4,5,0,False,SUCCESSFUL,0.65,102.26,54.57924842834473,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-168,7256495,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_nopin/raw/py313t__CG__S__m3__t04__r05.txt
3.13t,CG,S,3,16,1,0,False,SUCCESSFUL,0.86,77.07,54.76520013809204,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-168,7256495,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_nopin/raw/py313t__CG__S__m3__t16__r01.txt
3.13t,CG,S,3,16,2,0,False,SUCCESSFUL,0.89,74.55,54.991976499557495,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-168,7256495,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_nopin/raw/py313t__CG__S__m3__t16__r02.txt
3.13t,CG,S,3,16,3,0,False,SUCCESSFUL,0.87,76.96,55.17788863182068,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-168,7256495,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_nopin/raw/py313t__CG__S__m3__t16__r03.txt
3.13t,CG,S,3,16,4,0,False,SUCCESSFUL,0.87,76.77,54.689821004867554,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-168,7256495,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_nopin/raw/py313t__CG__S__m3__t16__r04.txt
3.13t,CG,S,3,16,5,0,False,SUCCESSFUL,0.89,75.29,54.88710045814514,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-168,7256495,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_nopin/raw/py313t__CG__S__m3__t16__r05.txt
3.13t,CG,S,3,32,1,0,False,SUCCESSFUL,0.91,73.0,54.924017667770386,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-168,7256495,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_nopin/raw/py313t__CG__S__m3__t32__r01.txt
3.13t,CG,S,3,32,2,0,False,SUCCESSFUL,0.93,72.0,54.94834017753601,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-168,7256495,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_nopin/raw/py313t__CG__S__m3__t32__r02.txt
3.13t,CG,S,3,32,3,0,False,SUCCESSFUL,0.94,71.0,54.77166533470154,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-168,7256495,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_nopin/raw/py313t__CG__S__m3__t32__r03.txt
3.13t,CG,S,3,32,4,0,False,SUCCESSFUL,0.94,70.98,54.865726470947266,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-168,7256495,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_nopin/raw/py313t__CG__S__m3__t32__r04.txt
3.13t,CG,S,3,32,5,0,False,SUCCESSFUL,0.94,71.09,54.973970890045166,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-168,7256495,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_nopin/raw/py313t__CG__S__m3__t32__r05.txt
3.13t,CG,W,2,1,1,0,False,SUCCESSFUL,91.56,4.59,164.8255171775818,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-168,7257356,6,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_nopin/raw/py313t__CG__W__m2__t01__r01.txt
3.13t,CG,W,2,1,2,0,False,SUCCESSFUL,91.32,4.61,164.49460649490356,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-168,7257356,6,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_nopin/raw/py313t__CG__W__m2__t01__r02.txt
3.13t,CG,W,2,1,3,0,False,SUCCESSFUL,92.07,4.57,165.32766461372375,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-168,7257356,6,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_nopin/raw/py313t__CG__W__m2__t01__r03.txt
