python_tag,benchmark,class,mode,threads,runs,successful_runs,best_seconds,mean_seconds,best_mops,mean_mops
3.13t,MG,S,3,32,5,5,0.21,0.21800000000000003,35.54,34.821999999999996
3.13t,MG,W,2,1,3,3,170.77,171.66333333333333,2.85,2.8366666666666664
3.13t,MG,W,2,4,3,3,43.39,43.54,11.21,11.173333333333334
3.13t,MG,W,2,16,3,3,11.34,11.403333333333334,42.89,42.663333333333334
3.13t,MG,W,2,32,3,3,7.01,7.146666666666666,69.38,68.08666666666666
3.13t,MG,W,3,1,3,3,0.44,0.44333333333333336,1097.56,1094.49
3.13t,MG,W,3,4,3,3,0.55,0.56,884.26,871.6766666666666
3.13t,MG,W,3,16,3,3,0.58,0.59,839.82,822.9266666666667
3.13t,MG,W,3,32,3,3,0.74,0.7433333333333333,659.69,655.3933333333333
3.14t,CG,S,2,1,5,5,15.31,15.432000000000002,4.35,4.318
3.14t,CG,S,2,4,5,5,4.71,4.796,14.16,13.908000000000001
3.14t,CG,S,2,16,5,5,3.47,3.5060000000000002,19.18,19.0
3.14t,CG,S,2,32,5,5,5.33,5.606,12.52,11.913999999999998
3.14t,CG,S,3,1,5,5,0.12,0.12,544.32,540.582
3.14t,CG,S,3,4,5,5,0.62,0.654,108.11,102.324
3.14t,CG,S,3,16,5,5,0.86,0.8639999999999999,77.77,77.116
3.14t,CG,S,3,32,5,5,0.92,0.9280000000000002,72.31,71.706
3.14t,CG,W,2,1,3,3,98.84,99.11000000000001,4.26,4.246666666666667
3.14t,CG,W,2,4,3,3,26.92,27.3,15.63,15.413333333333334
3.14t,CG,W,2,16,3,3,10.54,10.596666666666666,39.91,39.699999999999996
3.14t,CG,W,2,32,3,3,12.8,13.060000000000002,32.86,32.21333333333333
3.14t,CG,W,3,1,3,3,0.76,0.7600000000000001,554.64,553.7266666666666
3.14t,CG,W,3,4,3,3,3.91,4.026666666666666,107.57,104.54333333333334
3.14t,CG,W,3,16,3,3,5.35,5.386666666666667,78.65,78.10666666666667
3.14t,CG,W,3,32,3,3,5.63,5.68,74.77,74.06333333333333
3.14t,EP,S,2,1,5,5,42.45,42.636,0.79,0.788
3.14t,EP,S,2,4,5,5,10.59,10.666,3.17,3.146
3.14t,EP,S,2,16,5,5,2.84,2.8600000000000003,11.8,11.726
3.14t,EP,S,2,32,5,5,1.69,1.698,19.86,19.77
3.14t,EP,S,3,1,5,5,1.43,1.436,23.4,23.378
3.14t,EP,S,3,4,5,5,0.36,0.364,92.95,92.066
3.14t,EP,S,3,16,5,5,0.19,0.19,179.5,178.27800000000002
3.14t,EP,S,3,32,5,5,0.15,0.15,226.4,224.798
3.14t,EP,W,2,1,3,3,83.94,84.69333333333334,0.8,0.79
3.14t,EP,W,2,4,3,3,21.3,21.463333333333335,3.15,3.1266666666666665
3.14t,EP,W,2,16,3,3,5.52,5.553333333333332,12.17,12.083333333333334
3.14t,EP,W,2,32,3,3,3.18,3.2300000000000004,21.13,20.806666666666665
3.14t,EP,W,3,1,3,3,2.87,2.8699999999999997,23.42,23.413333333333338
3.14t,EP,W,3,4,3,3,0.72,0.7433333333333333,93.15,90.51
3.14t,EP,W,3,16,3,3,0.37,0.36999999999999994,180.65,180.37
3.14t,EP,W,3,32,3,3,0.29,0.2933333333333333,233.91,229.78666666666666
3.14t,FT,S,2,1,5,5,41.65,41.79600000000001,4.25,4.236
3.14t,FT,S,2,4,5,5,12.61,12.919999999999998,14.05,13.732
3.14t,FT,S,2,16,5,5,6.45,6.558,27.46,27.016000000000002
3.14t,FT,S,2,32,5,5,7.47,7.791999999999999,23.72,22.75
3.14t,FT,S,3,1,5,5,2.43,2.44,72.82,72.526
3.14t,FT,S,3,4,5,5,0.65,0.66,271.81,268.87
3.14t,FT,S,3,16,5,5,0.22,0.22200000000000003,821.59,807.1940000000001
3.14t,FT,S,3,32,5,5,0.23,0.24,775.33,740.398
3.14t,FT,W,2,1,3,3,93.36,96.83333333333333,3.99,3.86
3.14t,FT,W,2,4,3,3,28.27,28.66333333333333,13.18,13.003333333333332
3.14t,FT,W,2,16,3,3,14.92,14.986666666666666,24.98,24.87
3.14t,FT,W,2,32,3,3,17.62,17.73,21.15,21.02
3.14t,FT,W,3,1,3,3,4.8,4.806666666666666,77.58,77.52333333333333
3.14t,FT,W,3,4,3,3,1.28,1.29,290.07,288.89000000000004
3.14t,FT,W,3,16,3,3,0.4,0.41333333333333333,924.22,904.21
3.14t,FT,W,3,32,3,3,0.42,0.43333333333333335,880.43,856.84
