python_tag,benchmark,class,mode,threads,rep,returncode,timed_out,verification,npb_seconds,mops,wall_seconds,python_version,node,slurm_job_id,slurm_array_task_id,raw_log
3.13t,CG,S,3,8,2,0,False,SUCCESSFUL,0.75,89.45,54.78531837463379,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-172,7256580,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_extra_threads_nopin/raw/py313t__CG__S__m3__t08__r02.txt
3.13t,CG,S,3,8,3,0,False,SUCCESSFUL,0.77,86.86,54.82839345932007,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-172,7256580,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_extra_threads_nopin/raw/py313t__CG__S__m3__t08__r03.txt
3.13t,CG,S,3,8,4,0,False,SUCCESSFUL,0.73,90.74,54.72383952140808,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-172,7256580,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_extra_threads_nopin/raw/py313t__CG__S__m3__t08__r04.txt
3.13t,CG,S,3,8,5,0,False,SUCCESSFUL,0.72,92.61,54.68343210220337,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-172,7256580,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_extra_threads_nopin/raw/py313t__CG__S__m3__t08__r05.txt
3.13t,CG,W,2,2,1,0,False,SUCCESSFUL,46.34,9.08,117.66070008277893,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-173,7256654,3,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_extra_threads_nopin/raw/py313t__CG__W__m2__t02__r01.txt
3.13t,CG,W,2,2,2,0,False,SUCCESSFUL,46.22,9.1,116.51199388504028,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-173,7256654,3,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_extra_threads_nopin/raw/py313t__CG__W__m2__t02__r02.txt
3.13t,CG,W,2,2,3,0,False,SUCCESSFUL,46.62,9.02,116.96644496917725,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-173,7256654,3,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_extra_threads_nopin/raw/py313t__CG__W__m2__t02__r03.txt
3.13t,CG,W,2,8,1,0,False,SUCCESSFUL,12.47,33.73,80.95059418678284,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-173,7256654,3,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_extra_threads_nopin/raw/py313t__CG__W__m2__t08__r01.txt
3.13t,CG,W,2,8,2,0,False,SUCCESSFUL,12.54,33.54,80.63161873817444,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-173,7256654,3,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_extra_threads_nopin/raw/py313t__CG__W__m2__t08__r02.txt
3.13t,CG,W,2,8,3,0,False,SUCCESSFUL,12.51,33.62,80.89655613899231,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-173,7256654,3,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_extra_threads_nopin/raw/py313t__CG__W__m2__t08__r03.txt
3.13t,CG,W,3,2,1,0,False,SUCCESSFUL,2.88,145.88,70.31367444992065,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-173,7256654,3,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_extra_threads_nopin/raw/py313t__CG__W__m3__t02__r01.txt
3.13t,CG,W,3,2,2,0,False,SUCCESSFUL,3.13,134.28,70.7635862827301,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-173,7256654,3,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_extra_threads_nopin/raw/py313t__CG__W__m3__t02__r02.txt
3.13t,CG,W,3,2,3,0,False,SUCCESSFUL,3.12,134.68,70.46067142486572,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-173,7256654,3,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_extra_threads_nopin/raw/py313t__CG__W__m3__t02__r03.txt
3.13t,CG,W,3,8,1,0,False,SUCCESSFUL,4.84,86.96,73.06839942932129,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-173,7256654,3,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_extra_threads_nopin/raw/py313t__CG__W__m3__t08__r01.txt
3.13t,CG,W,3,8,2,0,False,SUCCESSFUL,4.46,94.4,72.36735105514526,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-173,7256654,3,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_extra_threads_nopin/raw/py313t__CG__W__m3__t08__r02.txt
