python_tag,benchmark,class,mode,threads,runs,successful_runs,best_seconds,mean_seconds,best_mops,mean_mops
3.13t,MG,W,2,1,3,3,154.22,154.78666666666666,3.15,3.14
3.13t,MG,W,2,4,3,3,155.66,157.61666666666667,3.13,3.0866666666666664
3.13t,MG,W,2,16,3,3,183.66,184.87333333333333,2.65,2.63
3.13t,MG,W,2,32,3,3,156.77,175.38,3.1,2.7900000000000005
3.13t,MG,W,3,1,3,3,0.56,0.5666666666666668,861.49,855.4
3.13t,MG,W,3,4,3,3,0.77,0.7833333333333333,630.13,620.2866666666667
3.13t,MG,W,3,16,3,3,1.63,1.7166666666666668,299.05,284.24333333333334
3.13t,MG,W,3,32,3,3,3.02,3.103333333333333,161.18,157.07333333333335
3.14t,CG,S,2,1,5,5,17.07,17.122,3.9,3.8920000000000003
3.14t,CG,S,2,4,5,5,10.11,10.15,6.59,6.566
3.14t,CG,S,2,16,5,5,6.35,6.446000000000001,10.5,10.342
3.14t,CG,S,2,32,5,5,12.19,12.812000000000001,5.47,5.212
3.14t,CG,S,3,1,5,5,0.19,0.196,345.01,337.702
3.14t,CG,S,3,4,5,5,0.96,0.97,69.17,68.608
3.14t,CG,S,3,16,5,5,1.51,1.546,44.28,43.148
3.14t,CG,S,3,32,5,5,1.67,1.7100000000000002,39.98,38.980000000000004
3.14t,CG,W,2,1,3,3,108.85,109.67999999999999,3.86,3.8366666666666664
3.14t,CG,W,2,4,3,3,30.04,34.00333333333333,14.0,12.46
3.14t,CG,W,2,16,3,3,10.73,11.273333333333333,39.21,37.48666666666667
3.14t,CG,W,2,32,3,3,10.09,11.283333333333333,41.69,37.81333333333333
3.14t,CG,W,3,1,3,3,0.85,0.9666666666666667,495.3,447.05
3.14t,CG,W,3,4,3,3,6.1,6.516666666666667,68.97,64.67999999999999
3.14t,CG,W,3,16,3,3,10.45,10.816666666666668,40.26,38.916666666666664
3.14t,CG,W,3,32,3,3,14.39,14.5,29.23,29.013333333333332
3.14t,EP,S,2,1,5,5,42.03,42.498000000000005,0.8,0.79
3.14t,EP,S,2,4,5,5,10.46,10.652000000000001,3.21,3.152
3.14t,EP,S,2,16,5,5,2.83,2.8920000000000003,11.85,11.606
3.14t,EP,S,2,32,5,5,1.75,1.982,19.13,17.008
3.14t,EP,S,3,1,5,5,1.27,1.294,26.37,25.944
3.14t,EP,S,3,4,5,5,0.33,0.34,101.52,99.33599999999998
3.14t,EP,S,3,16,5,5,0.19,0.20400000000000001,173.78,164.558
3.14t,EP,S,3,32,5,5,0.18,0.188,189.07,178.59
3.14t,EP,W,2,1,3,3,83.67,84.29,0.8,0.7966666666666667
3.14t,EP,W,2,4,3,3,20.9,21.036666666666665,3.21,3.19
3.14t,EP,W,2,16,3,3,5.48,5.53,12.26,12.143333333333333
3.14t,EP,W,2,32,3,3,3.16,3.2566666666666664,21.25,20.62333333333333
3.14t,EP,W,3,1,3,3,2.54,2.54,26.43,26.41
3.14t,EP,W,3,4,3,3,0.66,0.66,102.17,101.61
3.14t,EP,W,3,16,3,3,0.36,0.36000000000000004,186.98,186.00333333333333
3.14t,EP,W,3,32,3,3,0.3,0.3,226.47,225.59666666666666
3.14t,FT,S,2,1,5,5,38.17,39.382,4.64,4.5
3.14t,FT,S,2,4,5,5,15.03,15.368,11.78,11.528
3.14t,FT,S,2,16,5,5,10.47,11.266,16.92,15.748000000000001
3.14t,FT,S,2,32,5,5,12.11,13.459999999999999,14.63,13.212
3.14t,FT,S,3,1,5,5,2.48,2.5,71.38,70.922
3.14t,FT,S,3,4,5,5,0.95,0.9960000000000001,187.22,178.56
3.14t,FT,S,3,16,5,5,0.35,0.398,508.92,445.698
3.14t,FT,S,3,32,5,5,0.44,0.472,406.73,378.276
3.14t,FT,W,2,1,3,3,85.34,89.56,4.37,4.18
3.14t,FT,W,2,4,3,3,34.95,38.5,10.66,9.766666666666667
3.14t,FT,W,2,16,3,3,26.49,27.903333333333332,14.07,13.376666666666667
3.14t,FT,W,2,32,3,3,29.02,30.886666666666667,12.84,12.089999999999998
3.14t,FT,W,3,1,3,3,4.9,4.91,76.11,75.88666666666667
3.14t,FT,W,3,4,3,3,1.61,1.62,231.66,230.25666666666666
3.14t,FT,W,3,16,3,3,0.61,0.6433333333333334,613.65,578.8366666666667
3.14t,FT,W,3,32,3,3,0.69,0.7233333333333333,538.58,517.8000000000001
3.14t,IS,S,2,1,5,5,0.32,0.324,2.03,2.016
3.14t,IS,S,2,4,5,5,0.17,0.18,3.76,3.6519999999999997
3.14t,IS,S,2,16,5,5,0.3,0.32199999999999995,2.17,2.05
3.14t,IS,S,2,32,5,5,0.53,0.5720000000000001,1.23,1.158
3.14t,IS,S,3,1,5,5,0.0,0.0,275.35,257.538
3.14t,IS,S,3,4,5,5,0.01,0.01,59.74,56.788
3.14t,IS,S,3,16,5,5,0.03,0.036,20.79,18.764
3.14t,IS,S,3,32,5,5,0.06,0.068,10.22,9.422
3.14t,IS,W,2,1,3,3,5.42,5.466666666666666,1.93,1.9166666666666667
3.14t,IS,W,2,4,3,3,2.22,2.236666666666667,4.73,4.693333333333334
3.14t,IS,W,2,16,3,3,4.49,4.796666666666667,2.33,2.1999999999999997
3.14t,IS,W,2,32,3,3,8.5,9.576666666666666,1.23,1.1033333333333333
3.14t,IS,W,3,1,3,3,0.04,0.04,291.74,277.0133333333333
3.14t,IS,W,3,4,3,3,0.05,0.05000000000000001,196.74,195.29
3.14t,IS,W,3,16,3,3,0.09,0.09999999999999999,122.31,107.5
3.14t,IS,W,3,32,3,3,0.24,0.24666666666666667,43.01,42.516666666666666
3.14t,MG,S,2,1,5,5,2.76,3.116,2.75,2.46
3.14t,MG,S,2,4,5,5,1.28,1.318,5.95,5.768
3.14t,MG,S,2,16,5,5,0.62,0.636,12.22,11.97
3.14t,MG,S,2,32,5,5,0.71,0.744,10.69,10.264
3.14t,MG,S,3,1,5,5,0.01,0.01,602.71,601.2560000000001
3.14t,MG,S,3,4,5,5,0.08,0.08399999999999999,94.23,90.202
3.14t,MG,S,3,16,5,5,0.27,0.284,27.66,26.7
3.14t,MG,S,3,32,5,5,0.61,0.67,12.48,11.431999999999999
3.14t,MG,W,2,1,3,3,166.8,167.0666666666667,2.92,2.9133333333333336
3.14t,MG,W,2,4,3,3,42.98,46.083333333333336,11.32,10.63
3.14t,MG,W,2,16,3,3,14.34,14.746666666666668,33.92,33.016666666666666
3.14t,MG,W,2,32,3,3,8.48,10.229999999999999,57.39,48.39333333333334
3.14t,MG,W,3,1,3,3,0.57,0.7200000000000001,849.36,692.61
3.14t,MG,W,3,4,3,3,0.72,0.9,678.23,556.1166666666667
3.14t,MG,W,3,16,3,3,0.93,1.5166666666666666,522.12,360.19
3.14t,MG,W,3,32,3,3,2.68,2.8066666666666666,181.46,173.84333333333333
3.15t,CG,S,2,1,5,5,17.48,17.646,3.81,3.778
3.15t,CG,S,2,4,5,5,21.6,21.948,3.09,3.038
3.15t,CG,S,2,16,5,5,39.12,39.21,1.7,1.698
3.15t,CG,S,2,32,5,5,63.62,64.404,1.05,1.034
3.15t,CG,S,3,1,5,5,0.2,0.2,327.17,326.83000000000004
3.15t,CG,S,3,4,5,5,0.31,0.31,217.13,216.096
3.15t,CG,S,3,16,5,5,0.75,0.758,88.51,87.942
3.15t,CG,S,3,32,5,5,1.44,1.484,46.25,44.938
3.15t,CG,W,2,1,3,3,115.32,116.24000000000001,3.65,3.6199999999999997
3.15t,CG,W,2,4,3,3,103.78,114.33333333333333,4.05,3.6966666666666668
3.15t,CG,W,2,16,3,3,116.49,117.92333333333333,3.61,3.5666666666666664
3.15t,CG,W,2,32,3,3,144.86,158.19000000000003,2.9,2.6666666666666665
3.15t,CG,W,3,1,3,3,1.01,1.0933333333333335,417.85,390.06
3.15t,CG,W,3,4,3,3,1.11,1.2833333333333334,379.26,331.0133333333333
3.15t,CG,W,3,16,3,3,1.83,1.84,230.33,228.69000000000003
3.15t,CG,W,3,32,3,3,2.52,2.52,167.06,166.84666666666666
3.15t,EP,S,2,1,5,5,43.49,44.134,0.77,0.758
3.15t,EP,S,2,4,5,5,43.5,43.676,0.77,0.768
3.15t,EP,S,2,16,5,5,43.69,43.876,0.77,0.764
3.15t,EP,S,2,32,5,5,43.89,44.35,0.76,0.754
3.15t,EP,S,3,1,5,5,1.28,1.28,26.23,26.222
3.15t,EP,S,3,4,5,5,1.28,1.288,26.13,26.092000000000002
3.15t,EP,S,3,16,5,5,1.31,1.31,25.57,25.542
3.15t,EP,S,3,32,5,5,1.35,1.35,24.82,24.806
3.15t,EP,W,2,1,3,3,86.8,88.66000000000001,0.77,0.7566666666666667
3.15t,EP,W,2,4,3,3,87.6,87.83666666666666,0.77,0.7666666666666666
3.15t,EP,W,2,16,3,3,87.3,87.75666666666666,0.77,0.7666666666666666
3.15t,EP,W,2,32,3,3,87.65,88.22666666666667,0.77,0.7633333333333333
3.15t,EP,W,3,1,3,3,2.56,2.56,26.23,26.223333333333333
3.15t,EP,W,3,4,3,3,2.56,2.5666666666666664,26.16,26.123333333333335
3.15t,EP,W,3,16,3,3,2.59,2.5966666666666667,25.88,25.846666666666664
3.15t,EP,W,3,32,3,3,2.64,2.64,25.45,25.433333333333334
3.15t,FT,S,2,1,5,5,37.5,38.168,4.72,4.642
3.15t,FT,S,2,4,5,5,38.7,39.408,4.58,4.498
3.15t,FT,S,2,16,5,5,39.26,39.922000000000004,4.51,4.438
3.15t,FT,S,2,32,5,5,41.44,41.582,4.28,4.262
3.15t,FT,S,3,1,5,5,2.51,2.54,70.7,69.866
3.15t,FT,S,3,4,5,5,2.65,2.66,66.8,66.604
3.15t,FT,S,3,16,5,5,3.03,3.0479999999999996,58.38,58.105999999999995
3.15t,FT,S,3,32,5,5,3.63,3.662,48.87,48.398
3.15t,FT,W,2,1,3,3,83.51,83.85333333333334,4.46,4.443333333333333
3.15t,FT,W,2,4,3,3,86.57,86.70666666666666,4.3,4.296666666666667
3.15t,FT,W,2,16,3,3,87.42,87.97000000000001,4.26,4.233333333333333
3.15t,FT,W,2,32,3,3,89.2,90.64333333333333,4.18,4.113333333333333
3.15t,FT,W,3,1,3,3,5.08,5.11,73.31,72.87333333333333
3.15t,FT,W,3,4,3,3,5.2,5.206666666666667,71.66,71.54666666666667
3.15t,FT,W,3,16,3,3,5.61,5.6433333333333335,66.46,66.03666666666668
3.15t,FT,W,3,32,3,3,6.25,6.29,59.66,59.27333333333333
3.15t,IS,S,2,1,5,5,0.32,0.328,2.02,1.9939999999999998
3.15t,IS,S,2,4,5,5,0.39,0.39,1.67,1.6640000000000001
3.15t,IS,S,2,16,5,5,0.66,0.662,0.99,0.9879999999999999
3.15t,IS,S,2,32,5,5,0.9,0.9380000000000001,0.72,0.7
3.15t,IS,S,3,1,5,5,0.0,0.0,295.89,262.29200000000003
