python_tag,benchmark,class,mode,threads,rep,returncode,timed_out,verification,npb_seconds,mops,wall_seconds,warmup_wall_seconds,perf_task_clock_ms,perf_cpus_utilized,perf_cycles,perf_instructions,perf_ipc,perf_cache_references,perf_cache_misses,perf_cache_miss_ratio,perf_context_switches,perf_cpu_migrations,python_version,node,raw_log
3.14t,EP,W,3,1,1,0,False,SUCCESSFUL,2.87,23.41,4.149859189987183,27.582207202911377,7731.49,1.898,21384249551,18421487858,0.8614512196963465,38915514,5396600,0.13867477119793406,0,0,"3.14.4 free-threading build (main, May 25 2026, 19:26:08) [GCC 10.1.0]",ilk-62,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_profile_versions_core_nopin/raw/py314t__EP__W__m3__t01__r01.txt
3.14t,EP,W,3,8,1,0,False,SUCCESSFUL,0.36,184.91,1.6901230812072754,1.678384780883789,5107.04,3.093,14049625066,14315304727,1.01891008904166,39442635,8671205,0.2198434511284553,0,0,"3.14.4 free-threading build (main, May 25 2026, 19:26:08) [GCC 10.1.0]",ilk-62,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_profile_versions_core_nopin/raw/py314t__EP__W__m3__t08__r01.txt
3.14t,EP,W,3,16,1,0,False,SUCCESSFUL,0.37,181.62,1.5608549118041992,1.6371150016784668,7759.96,5.082,21422323863,18479115186,0.8626102053249497,39107604,5518207,0.14110317267199493,0,0,"3.14.4 free-threading build (main, May 25 2026, 19:26:08) [GCC 10.1.0]",ilk-62,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_profile_versions_core_nopin/raw/py314t__EP__W__m3__t16__r01.txt
3.14t,EP,W,3,32,1,0,False,SUCCESSFUL,0.29,233.85,1.5252182483673096,1.674443244934082,6986.66,4.682,19180540354,17176943375,0.8955401181603229,38589477,12855813,0.3331429705564551,0,0,"3.14.4 free-threading build (main, May 25 2026, 19:26:08) [GCC 10.1.0]",ilk-62,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_profile_versions_core_nopin/raw/py314t__EP__W__m3__t32__r01.txt
3.14t,FT,W,3,1,1,0,False,SUCCESSFUL,5.0,74.53,6.936918020248413,159.85751962661743,8944.79,1.298,24730771138,52133620260,2.1080466908649775,46329762,6343314,0.13691661096812888,0,0,"3.14.4 free-threading build (main, May 25 2026, 19:26:08) [GCC 10.1.0]",ilk-62,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_profile_versions_core_nopin/raw/py314t__FT__W__m3__t01__r01.txt
3.14t,FT,W,3,8,1,0,False,SUCCESSFUL,0.67,555.06,2.0027637481689453,2.109052896499634,10712.02,5.445,29393424865,54592484663,1.8573026081083048,83293944,7052317,0.08466782410975761,0,0,"3.14.4 free-threading build (main, May 25 2026, 19:26:08) [GCC 10.1.0]",ilk-62,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_profile_versions_core_nopin/raw/py314t__FT__W__m3__t08__r01.txt
3.14t,FT,W,3,16,1,0,False,SUCCESSFUL,0.42,897.63,1.7240631580352783,1.6783647537231445,11498.91,6.814,30989608356,54812208140,1.7687286496277268,97812151,7903447,0.08080230236425329,0,0,"3.14.4 free-threading build (main, May 25 2026, 19:26:08) [GCC 10.1.0]",ilk-62,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_profile_versions_core_nopin/raw/py314t__FT__W__m3__t16__r01.txt
3.14t,FT,W,3,32,1,0,False,SUCCESSFUL,0.64,581.02,2.0025336742401123,2.04048228263855,14211.62,7.248,35766851582,55316991382,1.546599405183284,130421469,52756114,0.4045048288790552,0,0,"3.14.4 free-threading build (main, May 25 2026, 19:26:08) [GCC 10.1.0]",ilk-62,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_profile_versions_core_nopin/raw/py314t__FT__W__m3__t32__r01.txt
3.14t,IS,W,3,1,1,0,False,SUCCESSFUL,0.03,349.84,1.5236883163452148,72.93444752693176,4263.91,2.875,11660526330,11881866147,1.0189819748042197,42129335,8339949,0.1979606134300482,0,0,"3.14.4 free-threading build (main, May 25 2026, 19:26:08) [GCC 10.1.0]",ilk-221,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_profile_versions_core_nopin/raw/py314t__IS__W__m3__t01__r01.txt
3.14t,IS,W,3,8,1,0,False,SUCCESSFUL,0.02,421.65,1.3756985664367676,1.3906781673431396,5233.76,3.914,14277984825,13440840276,0.9413681580936966,43438117,10632423,0.24477172894027613,0,0,"3.14.4 free-threading build (main, May 25 2026, 19:26:08) [GCC 10.1.0]",ilk-221,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_profile_versions_core_nopin/raw/py314t__IS__W__m3__t08__r01.txt
