python_tag,benchmark,class,mode,threads,rep,returncode,timed_out,verification,npb_seconds,mops,wall_seconds,python_version,node,slurm_job_id,slurm_array_task_id,raw_log
3.15t,CG,A,3,32,3,0,False,SUCCESSFUL,5.85,255.71,161.98896431922913,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-67,7171849,70,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__A__m3__t32__r03.txt
3.15t,CG,S,0,1,1,0,False,SUCCESSFUL,20.43,3.26,27.233081817626953,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-47,7140686,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__S__m0__t01__r01.txt
3.15t,CG,S,0,1,2,0,False,SUCCESSFUL,20.77,3.21,25.648882627487183,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-47,7140686,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__S__m0__t01__r02.txt
3.15t,CG,S,0,1,3,0,False,SUCCESSFUL,20.39,3.27,25.27514672279358,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-47,7140686,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__S__m0__t01__r03.txt
3.15t,CG,S,0,2,1,0,False,SUCCESSFUL,22.5,2.96,27.581088304519653,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-47,7140686,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__S__m0__t02__r01.txt
3.15t,CG,S,0,2,2,0,False,SUCCESSFUL,22.44,2.97,27.4747314453125,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-47,7140686,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__S__m0__t02__r02.txt
3.15t,CG,S,0,2,3,0,False,SUCCESSFUL,22.6,2.95,28.424970626831055,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-47,7140686,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__S__m0__t02__r03.txt
3.15t,CG,S,0,4,1,0,False,SUCCESSFUL,26.97,2.47,32.21357274055481,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-47,7140686,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__S__m0__t04__r01.txt
3.15t,CG,S,0,4,2,0,False,SUCCESSFUL,27.05,2.46,32.24534201622009,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-47,7140686,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__S__m0__t04__r02.txt
3.15t,CG,S,0,4,3,0,False,SUCCESSFUL,27.66,2.41,34.90843605995178,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-59,7140687,2,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__S__m0__t04__r03.txt
